t  FSI  FSI_1  FSI_2  FSI_3  FSI_4  FSI_5  FSI_6  FSI_7  FSI_8  FSI_9  FSI_10  FSI_11  FSI_12  FSI_13  FSI_14  FSI_15  FSI_16  FSI_17  FSI_18  FSI_19  FSI_20 
    0.500000      0.032990603      0.031919816      0.031865168      0.032748041      0.032158318      0.032692403      0.033766290      0.036025754      0.031522384      0.031398618      0.032429884      0.033607605      0.033000435      0.035467784      0.035299130      0.033241499      0.034532222      0.032250279      0.031875071      0.032081569      0.031929796 
   56.500000      0.877534325      1.000846861      0.918444855      0.736088448      0.793964566      1.096658051      0.852721114      1.242456834      0.814429260      0.689351568      0.882065701      0.668551338      0.928179949      1.319032717      0.775648028      1.102089192      0.871058512      0.617169550      0.746004537      0.697237378      0.798688050 
  112.500000      1.256921905      1.432550608      1.159571989      1.122166334      1.139319519      1.467049133      1.329457865      1.679144170      1.229832014      0.950530544      1.187109127      0.883638549      1.362659495      2.201463856      1.024442462      1.642598131      1.258085777      0.822238718      1.111985049      0.997678282      1.136916468 
  168.500000      1.582551264      1.797509220      1.391309899      1.434435478      1.483218218      1.749998109      1.698090427      2.070444307      1.541988623      1.157298698      1.506245946      1.065371837      1.771803266      2.948166360      1.229164776      2.173450422      1.547221137      0.981393703      1.401232024      1.261387647      1.441295186 
  224.500000      1.882991913      2.199735280      1.607172101      1.735125778      1.873399911      1.915325254      1.945022343      2.364932850      1.816991089      1.330964157      1.762776859      1.296674478      2.261037739      3.672318001      1.436302454      2.639587638      1.760211298      1.169461952      1.620821358      1.499656558      1.752321158 
  281.000000      2.176579446      2.607715780      1.780369516      1.996841451      2.263416630      2.038242624      2.204145577      2.621786787      2.118605230      1.495124225      1.984510020      1.456885583      2.772031263      4.244986185      1.671855997      3.046911180      2.158743237      1.334467754      1.833786944      1.796908574      2.104254363 
  337.000000      2.459837403      2.953612050      1.914445475      2.248033301      2.672017675      2.254919189      2.401033128      2.955787839      2.485090993      1.656434516      2.217563161      1.646357643      3.185980835      4.740383506      1.933196207      3.375226393      2.514200440      1.498322705      2.066083044      2.028463349      2.449596613 
  393.000000      2.765921505      3.434296281      2.091869844      2.517932717      3.132135406      2.334415673      2.612285133      3.343633140      2.934527125      1.891889924      2.403962841      1.843865386      3.543530454      5.280571511      2.197262448      3.632230865      2.924878588      1.701352204      2.331451045      2.275506036      2.890833469 
  449.000000      3.064704380      3.971294942      2.370183691      2.801425703      3.672218907      2.375280501      2.672580264      3.687377447      3.371950686      2.050954867      2.720715860      2.018606374      3.888153371      5.658968315      2.411200361      3.903244364      3.360552671      1.875280366      2.615589974      2.546253916      3.322255027 
  505.500000      3.348850009      4.507946584      2.454827143      3.088049475      4.232361170      2.556908872      2.793228078      4.055663541      3.734690236      2.160003139      2.966625807      2.156665885      4.330441059      5.720247448      2.619766775      4.210276825      3.845847031      2.072830674      2.912733946      2.900174458      3.657712032 
  561.500000      3.642222603      5.057703462      2.596526564      3.363948707      4.714633347      2.700947971      2.941670995      4.449852535      4.106745273      2.316188576      3.204532438      2.328038938      4.827915693      5.853359873      2.798822389      4.479449225      4.332419724      2.240566584      3.210365349      3.242062857      4.078701568 
  617.500000      3.939769239      5.700933483      2.721767723      3.620648591      5.237486976      2.884760873      3.052350281      4.837411338      4.442914347      2.402497238      3.334122300      2.405527635      5.410273941      6.091390628      2.972093083      4.784303819      4.837647206      2.406531133      3.522829701      3.685809842      4.444084635 
  673.500000      4.259063049      6.251290087      2.906628214      3.900404545      5.771940637      2.993927850      3.175893038      5.192004709      4.808725198      2.493848007      3.493422911      2.600254635      5.955088876      6.599121122      3.205945771      5.153949986      5.263703779      2.560759319      3.800790914      4.171784089      4.881777298 
  729.500000      4.570345931      6.735167338      3.140965087      4.221089601      6.337062246      2.904300056      3.265853466      5.511836455      5.152446478      2.571104639      3.593054004      2.859364371      6.515395560      7.151029580      3.402569626      5.571259087      5.707915663      2.726973881      4.132834841      4.614843114      5.291853527 
  786.000000      4.877792773      7.286256581      3.321792178      4.451767950      6.855705522      2.869453608      3.357890114      5.881807032      5.551175574      2.599417965      3.718559737      3.098944298      6.992995297      7.573433761      3.618541764      6.054233526      6.237300706      2.842283724      4.491045266      5.004042118      5.749208751 
  842.000000      5.174612159      7.857468222      3.470303204      4.728185339      7.339273632      2.873216522      3.346801468      6.220679231      5.985828569      2.691044042      3.784161394      3.374860330      7.454433815      8.009620458      3.806602520      6.461104087      6.800703135      2.926600016      4.797027862      5.360075999      6.204253345 
  898.000000      5.479293431      8.360279526      3.516239391      5.058542383      7.769288508      2.952528564      3.387129712      6.717827452      6.454070841      2.830635802      3.914456266      3.662051181      7.920708553      8.412237275      4.025711723      6.738099226      7.321180270      3.044434255      5.059556545      5.737066648      6.703824498 
  954.000000      5.784976107      8.920996898      3.669433058      5.420798792      8.303277938      3.062612148      3.446556912      7.115078969      6.839506853      2.935462194      3.950356943      3.981944830      8.281445233      8.842630303      4.215470544      7.086378426      7.891624331      3.157395206      5.336054060      6.034348107      7.208150389 
 1010.500000      6.090984391      9.453193531      3.740301926      5.680401277      8.888000928      3.217181288      3.557148266      7.546966138      7.304950311      2.918490921      3.969887369      4.293699874      8.813840871      9.238816027      4.371365020      7.401211994      8.470038921      3.259474456      5.602679963      6.287117278      7.804921468 
 1066.500000      6.398757158      9.806016733      3.837023586      5.993566529      9.499752045      3.516825703      3.710843875      7.958809438      7.686014866      2.913938401      4.011074387      4.617948809      9.476153123      9.511529608      4.470751124      7.762846649      9.001317186      3.305602828      5.826865450      6.653718254      8.414544567 
 1122.500000      6.690711315     10.350938944      3.907238106      6.375103434     10.101478959      3.672197858      3.800697475      8.421000628      8.024377868      2.877728250      4.039838513      4.937034266     10.059507659      9.630706140      4.597710467      8.043589297      9.466486617      3.372412336      6.137030928      6.966792866      9.032355699 
 1178.500000      6.996417038     10.932047653      4.027322169      6.748761779     10.757680443      3.719678271      3.903442609      8.923253997      8.380696258      2.917390495      4.269221494      5.214845716     10.532703316      9.751408802      4.628545257      8.364101413      9.972143951      3.404200392      6.487166666      7.314086024      9.679644062 
 1234.500000      7.294220906     11.422864160      4.104316209      7.144750219     11.395401582      3.854547579      4.030884076      9.434091279      8.759003568      2.886574527      4.327933648      5.491658856     10.844536765      9.898718486      4.736600231      8.783963947     10.512137757      3.510015091      6.808126847      7.592190636     10.346102663 
 1291.000000      7.611483583     12.001241554      3.998657777      7.578590527     12.006303729      4.046109962      4.111842394     10.010849666      9.207433344      2.914735237      4.437238976      5.754226727     11.185630152     10.208611599      4.862544397      9.245688058     11.170049511      3.560535155      7.069953502      7.832156982     11.027272417 
 1347.000000      7.936742354     12.532579044      3.985651312      8.020102422     12.689947514      4.049927263      4.196529279     10.584317999      9.664688351      2.945934963      4.498039035      6.129827051     11.401872854     10.719879414      4.911619888      9.821103943     11.784695148      3.679990731      7.343286651      8.047392270     11.727461949 
 1403.000000      8.260371101     13.038983664      4.008038252      8.471095699     13.335162887      4.068230251      4.240786960     11.234327046     10.121155148      2.993474864      4.625733033      6.415026651     11.522637672     11.263395732      4.977447634     10.418018325     12.375787989      3.802369502      7.686949230      8.238739012     12.370062464 
