t  Li  Li_1  Li_2  Li_3  Li_4  Li_5  Li_6  Li_7  Li_8  Li_9  Li_10  Li_11  Li_12  Li_13  Li_14  Li_15  Li_16  Li_17  Li_18  Li_19  Li_20 
    0.500000      0.101120576      0.098183796      0.124179689      0.118823614      0.108012527      0.085674726      0.105782975      0.090976915      0.081818093      0.130122885      0.089942464      0.083430921      0.092502241      0.101214022      0.127970029      0.079136150      0.108120809      0.094260421      0.087179439      0.096857465      0.118222343 
   56.500000      1.027316858      1.373112786      0.792468454      1.123910911      1.031691302      0.966661499      0.804912909      0.944432650      0.670744967      1.061214496      1.164520893      1.570685419      1.313800690      0.848752358      0.773350181      1.146102209      1.051249301      0.914638409      0.849617794      1.243342411      0.901127518 
  112.500000      1.431609292      1.899325940      1.093319039      1.731817226      1.404957187      1.354203210      1.065661251      1.312343859      0.887100274      1.396577656      1.582606134      2.265148458      1.912885106      1.260178973      1.051808405      1.640637939      1.337272119      1.209174301      1.163005753      1.827751614      1.236411395 
  168.500000      1.778453866      2.334114758      1.319302551      2.215343910      1.692954253      1.638648026      1.280193436      1.673494679      1.067147220      1.592993827      1.924110202      2.976641470      2.430007301      1.672251338      1.280932614      2.153243980      1.580205331      1.466395190      1.385202227      2.371029850      1.514865166 
  224.500000      2.080351255      2.969300393      1.451523437      2.656697344      1.889656642      1.941968610      1.543897344      2.010810921      1.196005499      1.822351610      2.165756151      3.563865576      2.802810012      1.977672979      1.483405539      2.546177531      1.772777380      1.629083668      1.605869552      2.827294739      1.750100180 
  281.000000      2.359769735      3.590625570      1.599248067      3.110908228      1.975793900      2.150739806      1.863661318      2.390944748      1.409893536      2.145132170      2.395856757      3.994812709      2.988785204      2.227908130      1.615587063      2.827650327      1.965538663      1.796869970      1.837493000      3.238479981      2.069465544 
  337.000000      2.610146962      4.050207459      1.735962616      3.580190855      2.033847405      2.314863606      2.091544821      2.739968791      1.575249207      2.440239107      2.576697940      4.474350423      3.119137145      2.388009789      1.802273613      3.181205248      2.100745251      1.957524133      2.069887596      3.665173524      2.305860721 
  393.000000      2.882064072      4.810754977      1.928165412      4.108441840      2.050904638      2.543890070      2.350236857      3.133536206      1.786373704      2.732700982      2.772942870      4.816642624      3.247241930      2.592057262      1.968209354      3.559068025      2.209842020      2.160326895      2.286195253      4.061123494      2.522627033 
  449.000000      3.157505707      5.486143960      2.129275660      4.639754623      2.119117033      2.812276095      2.619433711      3.574737568      1.955818256      3.021855818      2.949079192      5.110681432      3.463665738      2.767554789      2.100231809      3.840599180      2.411862121      2.440794606      2.558570567      4.479786894      2.668875081 
  505.500000      3.415373395      6.268100487      2.305974843      5.056625483      2.301512122      3.116661570      2.831598599      4.078180987      2.078320557      3.271196941      3.188191112      5.198310741      3.640033758      2.974986232      2.253410466      3.978241484      2.598344730      2.660486608      2.810153785      4.803142861      2.893994546 
  561.500000      3.664395566      7.095281601      2.532221272      5.536135830      2.367539652      3.487994063      3.056760981      4.474968991      2.209502450      3.596599371      3.408240449      5.315430840      3.669974163      3.108003655      2.406670182      4.120348716      2.843289707      2.865119914      2.983330864      5.073391694      3.137106930 
  617.500000      3.937166917      7.984312534      2.755470434      5.995397599      2.446553782      3.816478251      3.257134161      4.937951838      2.324402448      3.981747049      3.488834420      5.555558438      3.960190226      3.285010731      2.515984497      4.261712260      2.975924664      3.058140310      3.252677470      5.452337554      3.437519672 
  673.500000      4.208727769      8.665232837      2.947403351      6.483488510      2.471499675      4.183578042      3.455054085      5.322190682      2.477984870      4.412494675      3.582635952      5.831676541      4.209335601      3.485289452      2.779746623      4.397935739      3.174074064      3.272985410      3.496554810      5.776719505      3.748674959 
  729.500000      4.500685769      9.319017401      3.123715523      7.003810893      2.546761575      4.625918525      3.638552354      5.751238310      2.617702735      4.813130585      3.624877203      6.398857121      4.500486597      3.670361515      3.072465767      4.622075535      3.340006803      3.467233096      3.727899127      6.154751875      3.994852845 
  786.000000      4.817066479     10.048935817      3.366145527      7.492951477      2.659271558      5.106797573      3.895159764      6.165504974      2.722517080      5.343735515      3.627476524      7.063873277      4.886380960      3.873573891      3.305629462      4.857298859      3.461442314      3.741203274      3.987884287      6.462839245      4.272708204 
  842.000000      5.088369343     10.838024258      3.554112986      7.966302077      2.800719423      5.533122287      4.045207663      6.605642937      2.818088181      5.841195438      3.570601813      7.467934336      5.194765089      4.035819597      3.549384616      5.110983842      3.514058561      3.971994269      4.283772146      6.609109319      4.456548022 
  898.000000      5.373219036     11.476399635      3.763463450      8.457264104      2.879240708      5.958022502      4.302813446      7.048458219      3.003119315      6.370760345      3.725512115      7.923639561      5.424890024      4.157729044      3.779524713      5.397437630      3.607875882      4.160925521      4.538019170      6.780294128      4.708991214 
  954.000000      5.650628920     12.321416814      3.990538659      8.890608903      3.019897066      6.447815120      4.568292337      7.487149993      3.085165365      6.813744904      3.816985019      8.107027592      5.693143999      4.229126501      4.058493918      5.712377241      3.703172094      4.398411588      4.875228837      6.947299295      4.846683148 
 1010.500000      5.936703134     13.227358746      4.252485957      9.405001503      3.041661109      6.961802901      4.726757128      7.986573482      3.124079054      7.256042392      3.994398217      8.248885250      5.974205617      4.294372182      4.333477743      6.138278330      3.823734924      4.611010797      5.226678547      7.042287723      5.064971071 
 1066.500000      6.217300353     13.812542870      4.526615311      9.835987296      3.162639433      7.537411871      4.893706684      8.437460086      3.140300337      7.720436174      4.234527943      8.343824517      6.281004366      4.390796258      4.595411516      6.614462216      3.990023500      4.889059382      5.450437402      7.222712167      5.266647723 
 1122.500000      6.457572226     14.461808456      4.681183740     10.256434235      3.192302996      8.019588195      5.102482964      8.881909461      3.144997237      8.161293088      4.434527910      8.348899384      6.407348403      4.400489870      4.817976212      7.179414712      4.088293556      5.113926202      5.637230979      7.391854711      5.429482210 
 1178.500000      6.704829818     15.176534199      4.828963527     10.837855574      3.261580198      8.522314204      5.253691057      9.351119206      3.172775989      8.548644739      4.605780730      8.316699403      6.489783571      4.405615783      5.080459366      7.658931825      4.227277089      5.353693862      5.874716667      7.602047652      5.528111724 
 1234.500000      6.988597465     15.847246220      4.997711675     11.525102641      3.331318572      9.139998219      5.459797956      9.961852261      3.208274494      8.886607426      4.522094334      8.538235787      6.690396162      4.485196925      5.344722825      8.236129496      4.291796373      5.594091617      6.136739897      8.002317665      5.572318765 
 1291.000000      7.298428006     16.605619447      5.242057934     12.265074557      3.330228588      9.813025408      5.728223909     10.574088446      3.242870267      9.272612078      4.528936626      8.663484546      7.023087887      4.552591909      5.592859168      8.881353072      4.380580617      5.935561063      6.419648905      8.328571623      5.588084076 
 1347.000000      7.629255345     17.424960821      5.497883898     12.889760924      3.304904501     10.368897892      6.005887048     11.308835789      3.361790290      9.704774981      4.640319005      8.952264583      7.642217138      4.645891183      5.842336471      9.490015948      4.363432749      6.222088598      6.693551627      8.506207082      5.719086374 
 1403.000000      7.930580597     18.114300557      5.721765446     13.372781381      3.352105070     10.911253442      6.298318215     12.024553384      3.445692953     10.170842393      4.615128914      9.276328970      8.174502627      4.694258846      6.123459995      9.927042955      4.438632954      6.518773464      6.980270133      8.565283702      5.886316536 
 1459.000000      8.243496145     18.824263794      5.942804277     13.809821815      3.414734710     11.471986342      6.622045637     12.705206358      3.549852748     10.654137107      4.682969460      9.645178933      8.756181560      4.744930541      6.367056322     10.301792475      4.578406912      6.888817962      7.238026509      8.670223221      6.001486215 
 1515.500000      8.559597747     19.394375302      6.112329635     14.323649269      3.479152432     11.885046458      6.956633260     13.383362025      3.698061561     11.180374275      4.948740079     10.082307474      9.231539325      4.832298836      6.701779532     10.633511586      4.717003593      7.238126862      7.475083571      8.765413628      6.153166235 
 1571.500000      8.878113849     19.932889171      6.330889658     14.877253067      3.648632038     12.314213141      7.253612868     14.143671941      3.862736432     11.566168091      5.078314780     10.443328301      9.522290570      4.912490186      7.072492222     11.022209334      4.965442642      7.615195152      7.772196345      8.866736118      6.361514925 
 1627.500000      9.179942457     20.441480093      6.530797180     15.333613870      3.729957539     12.836644261      7.618837883     14.884274105      4.007377558     12.046763715      5.089676296     10.571790334     10.006369240      5.100410235      7.491136829     11.398419771      4.940021073      7.925908147      8.008242087      9.021596791      6.615532138 
 1683.500000      9.470137934     20.814773072      6.783763895     15.826850960      3.803325010     13.357231830      7.950352631     15.720101564      4.100412131     12.558943907      5.249994020     10.578437598     10.428208956      5.324336455      7.883392832     11.789147078      4.912686000      8.380712305      8.231005377      8.919216971      6.789866095 
