t  Li  Li_1  Li_2  Li_3  Li_4  Li_5  Li_6  Li_7  Li_8  Li_9  Li_10 
    0.500000      0.095687643      0.100018227      0.095792313      0.095377151      0.096298148      0.097311623      0.090974989      0.090752175      0.095633689      0.092476879      0.102241234 
  128.000000      3.892872965      3.659369854      5.102607334      3.753423723      4.424019154      4.492045755      3.840447400      3.725331817      3.341174284      4.008799848      2.581510479 
  255.500000      6.684837019      6.336373542      9.233291652      6.103579393      8.044284083      7.836059757      6.363914812      6.450002114      5.280684741      6.905210662      4.294969432 
  383.000000      9.262035694      8.692030578     12.733507120      8.416019250     11.337590421     10.876686635      8.945273341      9.471522826      6.977706346      9.453468643      5.716551778 
  510.500000     11.841847270     11.123378443     16.399453448     10.274379870     14.477983572     13.610543137     12.096396024     12.701638997      8.839956908     11.911576485      6.983165813 
  638.000000     14.440890260     13.067151184     20.181269198     12.715354872     16.692646088     16.943341234     15.574451047     15.995155009     10.738728267     14.322696264      8.178109436 
  765.500000     16.993992744     14.878805119     23.726122368     15.154285405     18.731515979     20.200142881     18.788004647     19.648897505     12.791587322     16.282844265      9.737721949 
  893.000000     19.469064392     16.818846604     26.971855196     17.913877480     20.341721736     23.643974325     22.208626986     22.517130396     14.846656693     18.257175185     11.170779323 
 1020.500000     22.110378995     18.759293668     30.779693131     20.885386924     21.983097345     26.884620420     25.595986515     25.846305581     16.941301536     20.611115046     12.816989782 
 1148.000000     24.987737600     20.982984389     35.581243442     23.700411573     24.165736618     29.867121149     29.311997883     29.240642612     19.138106010     23.687838634     14.201293690 
 1275.500000     27.858562333     22.972787134     40.109770891     26.569019060     26.172008378     32.902794399     33.283627699     32.348120660     21.219142956     27.552603305     15.455748846 
 1403.500000     30.660857739     24.385274773     43.514766959     29.862953098     27.729255361     36.374515193     36.794252572     35.537723003     23.692254269     31.716568904     17.001013257 
 1531.000000     33.501478024     26.020831596     47.352923764     33.745867336     29.045173346     39.705315193     40.372060024     38.110670945     26.268617476     35.922125563     18.471195000 
 1658.500000     36.332192628     27.561273343     50.818295836     37.195830319     30.831693454     43.496481397     43.819201815     40.317487682     28.947470900     40.104534206     20.229657326 
 1786.000000     39.018619753     28.877817014     53.434918161     40.698884527     32.009847881     46.985993853     47.307651211     42.711967840     31.531882633     44.322674162     22.304560250 
 1913.500000     41.837128744     30.342769092     56.548131801     44.764768639     33.668085579     49.818175132     50.545349578     45.064304390     34.016112542     48.706584819     24.897005871 
 2041.000000     44.827358039     31.727667236     59.574609444     48.750450036     35.693457125     52.849493760     54.155530835     47.734512390     37.190510896     53.135249437     27.462099229 
 2168.500000     47.696700681     32.976656510     62.607423276     52.158714025     37.998053613     55.511440398     57.423968075     50.511447386     40.282223584     57.365902505     30.131177435 
 2296.000000     50.649204942     33.896029368     65.559620265     56.178924195     41.182313594     58.544647937     60.730757362     53.281217092     43.107001738     61.617231825     32.394306049 
 2423.500000     53.402501052     34.580398235     68.699974134     60.207798640     43.736606111     61.250480837     63.830248330     55.693786669     45.493855053     65.804934349     34.726928158 
 2551.000000     56.266981600     35.601289595     72.545090594     64.330148615     45.384508299     64.214668213     66.469194209     58.497589749     48.116064978     70.050869959     37.460391792 
 2678.500000     59.003924716     36.042108168     76.482071681     68.554621615     47.405211577     66.491065097     68.928515560     60.844737813     51.148324372     73.641356255     40.501235020 
 2806.500000     61.747194788     35.772949991     80.378679527     73.146406541     49.606556961     68.649980323     71.855405426     63.451629583     53.872427751     77.399813928     43.338097844 
 2934.000000     64.506526188     36.179534443     84.693119869     77.624315202     51.550149700     71.210634196     74.013749152     66.136777906     56.334726659     81.158525652     46.163729106 
 3061.500000     67.325003495     36.139900739     89.783071710     82.291707120     53.841589873     73.950771659     76.121814967     69.224957066     58.904274274     83.795613945     49.196333593 
 3189.000000     70.166256375     35.751821153     94.353656186     87.694634049     55.522590409     75.973998478     79.059239224     72.397703263     61.883116374     86.679136799     52.346667812 
 3316.500000     72.892835215     35.129118771     98.793418282     92.251525863     56.928663330     78.139993013     81.302906552     76.229680823     64.607749904     89.924326258     55.620969359 
 3444.000000     75.734916142     34.588329687    103.765976732     96.179122029     58.776948120     80.097957397     83.345257090     80.807740505     67.108448334     93.599331196     59.080050328 
 3571.500000     78.550055100     34.175098087    108.295837485    100.353440329     60.210012779     82.553036845     85.275462048     85.099581252     70.131442337     97.193129870     62.213509963 
 3699.000000     81.298908979     33.765877639    111.737005046    105.121788509     62.027938811     85.201241509     87.349195151     89.533829681     72.874354152    100.276599924     65.101259371 
 3826.500000     83.736398492     33.209817109    114.493897215    109.674839134     63.892797713     86.961003084     89.378329226     93.387957409     75.298073845    103.093005918     67.974264269 
 3954.000000     85.992819321     32.324008436    117.573022437    114.360733418     65.235824433     88.002228174     90.392351319     97.190130448     78.406996672    105.267731289     71.175166583 
 4081.500000     88.750764959     31.806081829    120.655229073    119.312882255     67.447368148     90.662537839     91.747469105    101.631842881     82.201822057    107.365241265     74.677175139 
 4209.500000     91.726150893     31.084452022    123.911804935    124.120819367     70.773963941     93.702381149     93.962351613    105.605602944     86.552481429    108.998605333     78.549046198 
 4337.000000     94.543812417     30.843033323    126.697017941    127.978586579     74.211052888     96.301320885     95.726133537    109.479733834     90.743986706    111.026976343     82.430282133 
 4464.500000     97.501208983     30.844242003    129.128611939    131.867475822     78.193457457     98.896169509     98.262896576    113.456868279     95.134860779    112.724200673     86.503306792 
 4592.000000    100.457269027     31.221858240    130.950897563    135.671231490     82.332069731    101.639735934    100.617671767    117.832890265     99.358313796    113.587754852     91.360266637 
 4719.500000    103.165259323     31.203030306    131.390318112    139.828790736     85.116984973    103.950283492    103.543253352    121.843038105    103.588657687    115.224408925     95.963827544 
 4847.000000    106.172095143     31.348815175    131.055267729    144.186043941     88.299602038    107.615395557    107.022137052    125.971265382    107.933896843    117.986229675    100.302298037 
 4974.500000    108.995265680     31.631049151    130.931987892    148.675134843     91.341699110    111.115883801    108.960658598    130.330218378    112.150299142    119.979718070    104.836007815 
 5102.000000    111.791924497     32.103884823    131.203634794    152.451516909     93.556373652    115.099335946    111.922480334    133.744466565    115.708797964    122.747205640    109.381548338 
 5229.500000    114.611704280     33.497514795    131.834783163    155.591235047     96.603986645    118.501445546    114.936637343    136.398881020    119.072736730    125.459151173    114.220671345 
 5357.000000    117.194886409     35.375145019    131.979527268    159.217341091     98.462825941    122.101793655    118.074481564    137.730096255    122.726556138    127.997694647    118.283402516 
 5484.500000    119.574037906     36.696100730    133.161662848    163.616289540     99.235060858    124.066690551    120.714383689    139.333518822    125.964986316    130.626139640    122.325546071 
 5612.500000    122.044865801     37.286863856    134.046431423    168.047260856    100.235497363    125.885310019    123.620357735    141.186559228    128.675222341    134.775632399    126.689522793 
 5740.000000    124.058045364     38.103725710    134.378464674    172.464152445    100.496613118    126.996377654    126.070696253    142.202840776    130.913057949    138.035397256    130.919127804 
 5867.500000    126.075066136     38.991526806    135.068628916    176.769258185    101.520736479    128.265056042    127.902077787    142.853810739    132.984078162    141.193721061    135.201767182 
 5995.000000    127.903941520     39.097533647    135.714879236    180.517302205    103.163093604    129.447616923    129.619504796    142.894353860    134.580436794    144.500320608    139.504373530 
 6122.500000    129.809707873     39.684499049    135.612268255    183.786183859    104.131879465    131.600340923    131.963667003    143.529745383    136.537219456    147.695046800    143.556228538 
 6250.000000    131.986016527     39.800498282    136.396637750    186.448403658    106.742598318    134.196854605    134.490415715    145.421537180    138.169913032    150.100881482    148.092425248 
