t  PF6  PF6_1  PF6_2  PF6_3  PF6_4  PF6_5  PF6_6  PF6_7  PF6_8  PF6_9  PF6_10 
    0.500000      0.013904957      0.013817317      0.013724730      0.013912504      0.013611031      0.013332123      0.013937744      0.014369029      0.013885038      0.014203653      0.014256401 
  128.000000      4.331177315      5.534875139      5.012912066      4.412510338      4.800380668      4.076984852      4.019180605      4.424174765      4.134003601      3.488797890      3.407953229 
  255.500000      7.413737182     10.213612732      7.692689693      7.579266538      7.907511285      6.667735637      6.777979839      8.123012770      7.024081083      6.269102098      5.882380142 
  383.000000     10.204568893     14.523670744      9.437270597     10.457917003     11.796708121      9.282684084      9.568512435     11.367172443      9.290963927      8.478660695      7.842128876 
  510.500000     12.856039331     18.363875798     12.112613657     13.329760630     15.727816336     12.225224971     12.102380853     14.011098792     10.956020936     10.577180432      9.154420909 
  638.000000     15.525211701     22.111378776     15.028084386     16.338032781     19.206912666     15.460691810     14.450172348     16.394400227     12.610196501     12.836259715     10.815987799 
  765.500000     18.147102927     25.165937589     17.121420835     19.202941252     23.016931937     18.438435775     17.100308531     18.943565029     14.092166177     15.270108278     13.119213871 
  893.000000     20.548955325     27.207982122     19.274702839     21.535942189     27.001482784     21.794451906     19.132336058     21.714696277     15.139975742     17.305438449     15.382544884 
 1020.500000     23.186799259     29.337743149     21.579205757     23.555778963     31.002417219     25.489603260     21.703940022     25.573425818     16.120686906     20.114423220     17.390768271 
 1148.000000     26.035223582     32.354344134     24.128372968     25.644402873     35.700453960     28.796351038     24.390257745     29.420674344     17.508321499     22.984551073     19.424506184 
 1275.500000     28.800140059     36.309937289     26.314431688     28.489838039     38.926232868     31.972780765     26.668567832     32.479999024     18.990660849     25.716404842     22.132547395 
 1403.500000     31.678654733     40.174308338     29.190516752     31.926187192     41.843283592     35.711893752     28.980159212     35.396557707     20.379583932     28.134554165     25.049502684 
 1531.000000     34.705417355     43.785133721     32.632480184     35.669675657     44.577968705     39.817602781     31.577437131     38.213707178     21.791608285     30.767976733     28.220583173 
 1658.500000     37.767248536     48.167600123     36.058647384     39.277526160     46.648072163     43.529876254     34.210204347     41.451965848     22.928944512     34.002833142     31.396815431 
 1786.000000     41.065982836     52.906023722     38.536082106     43.315305960     49.400488375     47.687967077     37.239236845     45.444723745     23.886042556     37.582778319     34.661179657 
 1913.500000     44.617960146     57.937310162     41.365885230     47.800048317     52.480379016     52.002316457     40.309212821     49.762925382     24.753968077     41.510947837     38.256608160 
 2041.000000     48.238692829     62.207974987     43.833432651     52.338899458     55.959165289     56.934288385     43.753022602     54.237627408     25.883051957     45.142196309     42.097269246 
 2168.500000     52.052333135     67.521816397     46.913056583     56.187768968     59.133832355     61.864106508     47.917768841     58.764182958     27.276154778     48.816452464     46.128191503 
 2296.000000     55.643726572     72.575984732     49.327920676     60.336448591     62.108896399     66.871201303     51.687096432     62.528015001     29.352677609     51.925826461     49.723198521 
 2423.500000     59.171377704     77.328387556     51.312100526     64.944010758     65.549641106     71.945314020     55.035301622     66.329582363     31.212722265     55.140294704     52.916422124 
 2551.000000     62.740062279     81.048841079     53.941236862     69.678919868     69.786072486     76.677506763     58.044167106     70.840581540     32.760623019     58.747156177     55.875517885 
 2678.500000     66.346605615     85.716465887     56.305405545     74.063905001     74.001099595     80.754607901     61.069380190     76.000175926     33.851884634     62.779442975     58.923688494 
 2806.500000     70.056866866     91.949052013     58.756882911     78.913928162     77.738654545     84.330421627     64.433060138     81.340840593     35.072974965     66.795098032     61.237755678 
 2934.000000     73.853393151     98.708926923     61.121902994     84.038575225     82.042350501     87.472598757     68.342790521     86.840470941     35.745618181     70.603389612     63.617307852 
 3061.500000     77.563683327    104.684304258     63.886977350     89.348268913     85.616768864     90.097882285     72.626287117     93.202867505     36.157144886     74.429482597     65.586849500 
 3189.000000     81.273066155    110.368196542     65.664508947     94.253314241     89.370637117     92.421091468     77.095441975    100.320703852     37.546987023     78.373634220     67.316146163 
 3316.500000     85.007090278    115.733942457     67.597734989     98.762250146     93.922498758     94.638961643     81.262707844    107.090697934     38.822794890     83.101384089     69.137930026 
 3444.000000     88.687082184    120.576316108     70.371099875    103.742286945     98.293039506     95.992319878     85.647662567    113.163602050     40.437022097     87.981653391     70.665819420 
 3571.500000     92.302486716    124.850740398     72.741967120    108.414661097    102.880276588     97.036558101     90.588902970    119.275152978     41.681880789     92.751721935     72.803005185 
 3699.000000     95.579844308    129.404425283     74.148931277    112.729351130    107.720666423     97.273389439     95.534921590    125.308720432     41.916663830     97.065136775     74.696236902 
 3826.500000     98.890134210    135.341965221     75.553645343    116.736125133    112.354342599     97.796919766     99.474788698    131.300654641     42.159542613    101.728348559     76.455009526 
 3954.000000    102.127061708    141.909167110     76.572837527    120.680122629    117.050229288     98.331232023    102.668466325    137.086727781     42.799221301    106.647599955     77.525013143 
 4081.500000    105.560289848    148.528033841     78.117404848    124.782079764    122.218834832     98.702469246    106.111552266    143.105201198     43.020226414    112.147465479     78.869630590 
 4209.500000    109.204413425    155.262088242     79.023962108    128.709596119    127.916735750     99.292726556    110.550104571    149.204638722     43.710803029    117.817305270     80.556173882 
 4337.000000    112.556531497    163.097310526     79.477243382    131.317551228    133.916507240     99.316765995    114.098622608    154.287162487     44.660203510    123.336592490     82.057355499 
 4464.500000    115.715340976    171.431976510     78.727439191    133.298161803    139.386888509     98.265114782    117.766777879    159.646378041     45.876756869    129.268114028     83.485802148 
 4592.000000    118.879784046    179.529094548     78.203063207    134.684386686    144.075694963     97.356042431    121.958040848    164.537678643     47.643361415    135.878921347     84.931556368 
 4719.500000    121.865827644    186.376475973     76.476567023    136.383207136    148.340596402     96.637952394    125.858119233    170.344657029     49.349952070    142.367770306     86.522978874 
 4847.000000    124.379760993    192.831790240     75.579448002    137.557394739    151.348536671     94.782287862    129.307510468    175.607801801     50.161795099    148.504692078     88.116352973 
 4974.500000    126.709145511    198.546548654     75.605182939    138.867977117    153.747492032     92.939259898    132.862629402    179.848773348     50.618598805    153.778070551     90.276922363 
 5102.000000    129.103125467    203.419102069     75.584332258    140.102974689    156.593915743     90.783015862    136.989529677    183.563367576     51.660797673    159.424992940     92.909226179 
 5229.500000    131.233754160    207.361842680     75.490706047    140.638206543    158.890596054     87.494463110    141.802629074    187.118886754     53.376654741    164.721674729     95.441881866 
 5357.000000    133.147154581    210.809706665     76.429343885    141.415840244    161.393023543     84.285414099    145.080960118    189.611716333     54.469196814    169.076397464     98.899946649 
 5484.500000    135.612189038    215.325368067     77.173661232    142.030033250    164.817972979     82.599478355    149.030658844    193.152082076     55.199154273    174.323897715    102.469583591 
 5612.500000    138.268828592    220.228926543     78.485890219    141.095726444    166.900431568     81.682971794    154.085399626    197.219966290     56.591242442    179.884071810    106.513659180 
 5740.000000    140.859873953    223.220949061     79.692140279    141.089495964    170.700747829     81.348948048    158.908337817    200.638711276     58.216858045    184.698005636    110.084545569 
 5867.500000    143.295135914    225.487020747     81.419693864    142.403278133    174.049021797     80.525795790    164.238498259    202.829415172     60.011152761    189.312508558    112.674974055 
 5995.000000    145.829922470    227.269932339     83.307032271    143.690239415    177.647159268     80.214202702    168.541933434    205.283146337     62.040606501    194.998446045    115.306526390 
 6122.500000    148.514653366    229.857821488     86.754796931    145.249203098    181.357174556     79.602977598    172.399226277    208.383011182     63.528748984    200.453715018    117.559858528 
 6250.000000    151.413714860    231.712098804     90.827379217    147.450366501    183.820645742     80.172474227    176.859215227    210.841499904     65.603622309    206.386374682    120.463471985 
