      1   2   3   4   5   6   7   8   9  10  11  12  13  14 
  1 100   1   3   4   2   4   1   1   1   2   2   5   5   5 
  2   1 100   2   3   1   3   2   2   2   1   1   4   4   4 
  3   3   2 100   1   1   1   4   4   4   3   3   2   2   2 
  4   4   3   1 100   2   2   5   5   5   4   4   1   1   1 
  5   2   1   1   2 100   2   3   3   3   2   2   3   3   3 
  6   4   3   1   2   2 100   5   5   5   4   4   3   3   3 
  7   1   2   4   5   3   5 100   2   2   3   3   6   6   6 
  8   1   2   4   5   3   5   2 100   2   3   3   6   6   6 
  9   1   2   4   5   3   5   2   2 100   3   3   6   6   6 
 10   2   1   3   4   2   4   3   3   3 100   2   5   5   5 
 11   2   1   3   4   2   4   3   3   3   2 100   5   5   5 
 12   5   4   2   1   3   3   6   6   6   5   5 100   2   2 
 13   5   4   2   1   3   3   6   6   6   5   5   2 100   2 
 14   5   4   2   1   3   3   6   6   6   5   5   2   2 100 
