      1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18 
  1 100   2   5   5   3   3   6   6   3   1   2   4   2   5   3   3   3   6 
  2   2 100   5   5   3   3   6   6   3   1   2   4   2   5   3   3   3   6 
  3   5   5 100   2   6   6   3   3   2   4   3   1   5   2   4   4   6   3 
  4   5   5   2 100   6   6   3   3   2   4   3   1   5   2   4   4   6   3 
  5   3   3   6   6 100   2   7   7   4   2   3   5   1   6   4   4   2   7 
  6   3   3   6   6   2 100   7   7   4   2   3   5   1   6   4   4   2   7 
  7   6   6   3   3   7   7 100   2   3   5   4   2   6   1   5   5   7   2 
  8   6   6   3   3   7   7   2 100   3   5   4   2   6   1   5   5   7   2 
  9   3   3   2   2   4   4   3   3 100   2   1   1   3   2   2   2   4   3 
 10   1   1   4   4   2   2   5   5   2 100   1   3   1   4   2   2   2   5 
 11   2   2   3   3   3   3   4   4   1   1 100   2   2   3   1   1   3   4 
 12   4   4   1   1   5   5   2   2   1   3   2 100   4   1   3   3   5   2 
 13   2   2   5   5   1   1   6   6   3   1   2   4 100   5   3   3   1   6 
 14   5   5   2   2   6   6   1   1   2   4   3   1   5 100   4   4   6   1 
 15   3   3   4   4   4   4   5   5   2   2   1   3   3   4 100   2   4   5 
 16   3   3   4   4   4   4   5   5   2   2   1   3   3   4   2 100   4   5 
 17   3   3   6   6   2   2   7   7   4   2   3   5   1   6   4   4 100   7 
 18   6   6   3   3   7   7   2   2   3   5   4   2   6   1   5   5   7 100 
